Week;Date;Till;Accounts;Total;Cash;# Cust.;Cash Av Spend;EFTPOS;# Cust.2;Cust # TOTAL;EFTPOS Av $pend;TOTAL Av Spend;Notes;Till Up Down;Reserved column;# of the week;Year;Day of the week;Week + Year;IsCristmas;Fixed
6;29 окт€бр€ 2007 г.;$726,47;$0,00;$0,00;$621,26;44;$14,12;$105,21;4;48;$26,30;$15,13;Darts cheque $240.49 not inc in figures;;;44;2007;Mon;2007-44;0;
6;30 окт€бр€ 2007 г.;$1 063,42;$0,00;$0,00;$951,09;54;$17,61;$112,33;3;57;$37,44;$18,66;Hotel cheque $1380.46 not inc in figures;;;44;2007;Tue;2007-44;0;
6;31 окт€бр€ 2007 г.;$546,11;$0,00;$0,00;$459,25;30;$15,31;$86,86;2;32;$43,43;$17,07;Mulgowie Hall paid $150 not included in days total;;;44;2007;Wed;2007-44;0;
6;1 но€бр€ 2007 г.;$1 720,81;$0,00;$0,00;$1 461,35;55;$26,57;$259,46;7;62;$37,07;$27,76;$386 G.R.Day  Service kill inc;;;44;2007;Thu;2007-44;0;
6;2 но€бр€ 2007 г.;$1 461,11;$0,00;$0,00;$1 006,70;33;$30,51;$454,41;8;41;$56,80;$35,64;$243.13 cheque Margo Hayes inc;;;44;2007;Fri;2007-44;0;
6;3 но€бр€ 2007 г.;$1 090,73;$0,00;$0,00;$869,10;39;$22,28;$221,63;5;44;$44,33;$24,79;;;;44;2007;Sat;2007-44;0;
;4 но€бр€ 2007 г.;$6 608,65;$620,71;$7 229,36;;255;$21,07;$1 239,90;29;284;$40,89;$23,17;;;;45;2007;Sun;2007-45;0;
7;5 но€бр€ 2007 г.;$824,39;$0,00;$0,00;$410,35;36;$11,40;$414,04;3;39;$138,01;$21,14;;$0,00;;45;2007;Mon;2007-45;0;
7;6 но€бр€ 2007 г.;$515,70;$0,00;$0,00;$409,30;29;$14,11;$106,40;4;33;$26,60;$15,63;;-$10,00;;45;2007;Tue;2007-45;0;
7;7 но€бр€ 2007 г.;$1 124,87;$0,00;$0,00;$664,45;42;$15,82;$460,42;8;50;$57,55;$22,50;;-$0,05;;45;2007;Wed;2007-45;0;
7;8 но€бр€ 2007 г.;$1 480,67;$0,00;$0,00;$902,35;43;$20,98;$578,32;8;51;$72,29;$29,03;;$1,00;;45;2007;Thu;2007-45;0;
7;9 но€бр€ 2007 г.;$1 286,60;$0,00;$0,00;$1 181,80;75;$15,76;$104,80;3;78;$34,93;$16,49;;-$17,90;;45;2007;Fri;2007-45;0;
7;10 но€бр€ 2007 г.;$839,89;$0,00;$0,00;$416,45;24;$17,35;$423,44;6;30;$70,57;$28,00;;;;45;2007;Sat;2007-45;0;
;11 но€бр€ 2007 г.;$6 072,12;$1 569,10;$7 641,22;;249;$15,90;$2 087,42;32;281;$66,66;$22,13;281;;;46;2007;Sun;2007-46;0;
8;12 но€бр€ 2007 г.;$715,47;$0,00;$0,00;$673,20;46;$14,63;$42,27;2;48;$21,14;$14,91;;;;46;2007;Mon;2007-46;0;
8;13 но€бр€ 2007 г.;$579,65;$0,00;$0,00;$508,15;45;$11,29;$71,50;1;46;$71,50;$12,60;;;;46;2007;Tue;2007-46;0;
8;14 но€бр€ 2007 г.;$739,31;$0,00;$0,00;$652,60;42;$15,54;$86,71;5;47;$17,34;$15,73;;;;46;2007;Wed;2007-46;0;
8;15 но€бр€ 2007 г.;$1 313,74;$0,00;$0,00;$1 001,50;50;$20,03;$312,24;6;56;$52,04;$23,46;;;;46;2007;Thu;2007-46;0;
8;16 но€бр€ 2007 г.;$884,96;$0,00;$0,00;$530,25;37;$14,33;$354,71;6;43;$59,12;$20,58;;;;46;2007;Fri;2007-46;0;
8;17 но€бр€ 2007 г.;$745,56;$0,00;$0,00;$540,40;31;$17,43;$205,16;9;40;$22,80;$18,64;;;;46;2007;Sat;2007-46;0;
;18 но€бр€ 2007 г.;$4 978,69;$1 393,57;$6 372,26;;251;$15,54;$1 072,59;29;280;$40,66;$17,65;280;;;47;2007;Sun;2007-47;0;
9;19 но€бр€ 2007 г.;$647,28;$0,00;$0,00;$552,40;39;$14,16;$94,88;3;42;$31,63;$15,41;;-$2,10;;47;2007;Mon;2007-47;0;
9;20 но€бр€ 2007 г.;$556,84;$0,00;$0,00;$481,95;38;$12,68;$74,89;3;41;$24,96;$13,58;;-$15,90;;47;2007;Tue;2007-47;0;
9;21 но€бр€ 2007 г.;$552,45;$0,00;$0,00;$532,45;25;$21,30;$20,00;1;26;$20,00;$21,25;$255.11 of this was the bakery;$0,00;;47;2007;Wed;2007-47;0;
9;22 но€бр€ 2007 г.;$667,77;$0,00;$0,00;$572,45;45;$12,72;$95,32;5;50;$19,06;$13,36;;-$5,60;;47;2007;Thu;2007-47;0;
9;23 но€бр€ 2007 г.;$732,17;$0,00;$0,00;$702,25;42;$16,72;$29,92;1;43;$29,92;$17,03;$1357.35 cheque from Laidley Hotel not included in days total;$2,10;;47;2007;Fri;2007-47;0;
9;24 но€бр€ 2007 г.;$1 016,35;$0,00;$0,00;$535,75;30;$17,86;$480,60;8;38;$60,08;$26,75;$143 payment by Mulgowie Hotel included in takings;$0,00;;47;2007;Sat;2007-47;0;
;25 но€бр€ 2007 г.;$4 172,86;$1 837,01;$6 009,87;;219;$15,91;$795,61;21;240;$30,94;$17,89;;;;48;2007;Sun;2007-48;0;
10;26 но€бр€ 2007 г.;$866,29;$0,00;$0,00;$394,20;42;$9,39;$472,09;5;47;$94,42;$18,43;Bakery $349.94;Till playing up;;48;2007;Mon;2007-48;0;
10;27 но€бр€ 2007 г.;$285,55;$0,00;$0,00;$265,55;31;$8,57;$20,00;1;32;$20,00;$8,92;;Till playing up;;48;2007;Tue;2007-48;0;
10;28 но€бр€ 2007 г.;$901,71;$0,00;$0,00;$416,60;38;$10,96;$485,11;0;38;$0,00;$23,73;;Till playing up;;48;2007;Wed;2007-48;0;
10;29 но€бр€ 2007 г.;$1 388,50;$0,00;$0,00;$817,05;42;$19,45;$571,45;0;42;$0,00;$33,06;;Till playing up;;48;2007;Thu;2007-48;0;
10;30 но€бр€ 2007 г.;$1 649,05;$0,00;$0,00;$895,55;43;$20,83;$753,54;8;51;$94,19;$32,34;;-$20,05;;48;2007;Fri;2007-48;0;
10;1 декабр€ 2007 г.;$591,36;$0,00;$0,00;$386,90;27;$14,33;$204,46;7;34;$29,21;$17,39;;;;48;2007;Sat;2007-48;1;
;2 декабр€ 2007 г.;$5 682,46;$1 681,25;$7 363,71;;223;$13,92;$2 506,65;21;244;$39,64;$22,31;;;;49;2007;Sun;2007-49;1;
11;3 декабр€ 2007 г.;$524,45;$0,00;$0,00;$401,75;23;$17,47;$122,70;2;25;$61,35;$20,98;;$4,95;;49;2007;Mon;2007-49;1;
11;4 декабр€ 2007 г.;$552,10;$0,00;$0,00;$537,10;38;$14,13;$15,00;1;39;$15,00;$14,16;;-$1,00;;49;2007;Tue;2007-49;1;
11;5 декабр€ 2007 г.;$1 048,59;$0,00;$0,00;$337,80;25;$13,51;$710,79;6;31;$118,47;$33,83;;$1,30;;49;2007;Wed;2007-49;1;
11;6 декабр€ 2007 г.;$674,29;$0,00;$0,00;$502,00;29;$17,31;$172,29;6;35;$28,72;$19,27;;$1,40;;49;2007;Thu;2007-49;1;
