Week;Date;Till;Accounts;Total;Cash;# Cust.;Cash Av Spend;EFTPOS;# Cust.2;Cust # TOTAL;EFTPOS Av $pend;TOTAL Av Spend;Notes;Till Up Down;Reserved column;# of the week;Year;Day of the week;Week + Year;IsCristmas;Fixed
2.04;13 окт€бр€ 2009 г.;$774,78;$0,00;$0,00;$666,75;47;$14,19;$108,03;6;53;$18,01;$14,62;;-$0,20;;42;2009;Tue;2009-42;0;
2.04;14 окт€бр€ 2009 г.;$810,40;$0,00;$0,00;$572,05;32;$17,88;$238,35;5;37;$47,67;$21,90;Mulgowie Softball paid Aug Sep and Oct;$0,05;;42;2009;Wed;2009-42;0;
2.04;15 окт€бр€ 2009 г.;$1 017,74;$0,00;$0,00;$806,67;43;$18,76;$211,07;6;49;$35,18;$20,77;minus 340.78 from Exchange and 318.84 from laidley;;;42;2009;Thu;2009-42;0;
2.04;16 окт€бр€ 2009 г.;$2 953,31;$0,00;$0,00;$927,30;41;$22,62;$2 026,01;19;60;$106,63;$49,22;;;;42;2009;Fri;2009-42;0;
2.04;17 окт€бр€ 2009 г.;$885,76;$0,00;$0,00;$392,45;21;$18,69;$493,31;6;27;$82,22;$32,81;Including Frank's $224;;;42;2009;Sat;2009-42;0;
;18 окт€бр€ 2009 г.;$7 389,85;$2 334,02;$9 723,87;;213;$17,00;$3 737,98;50;263;$62,06;$27,49;;;;43;2009;Sun;2009-43;0;
2-05;19 окт€бр€ 2009 г.;$559,29;$0,00;$0,00;$457,17;36;$12,70;$102,12;4;40;$25,53;$13,98;minus Ed Pk 385.92, 75 in vouchers excahnge 53.93;;;43;2009;Mon;2009-43;0;
2-05;20 окт€бр€ 2009 г.;$748,27;$0,00;$0,00;$654,85;41;$15,97;$93,42;4;45;$23,36;$16,63;;;;43;2009;Tue;2009-43;0;
2-05;21 окт€бр€ 2009 г.;$1 546,94;$0,00;$0,00;$772,05;28;$27,57;$774,89;10;38;$77,49;$40,71;minus bowls club 585.51;;;43;2009;Wed;2009-43;0;
2-05;22 окт€бр€ 2009 г.;$794,29;$0,00;$0,00;$435,55;31;$14,05;$358,74;7;38;$51,25;$20,90;minus ghb 583;;;43;2009;Thu;2009-43;0;
2-05;23 окт€бр€ 2009 г.;$2 237,17;$0,00;$0,00;$1 103,25;52;$21,22;$1 133,92;11;63;$103,08;$35,51;;;;43;2009;Fri;2009-43;0;
2-05;24 окт€бр€ 2009 г.;$976,86;$0,00;$0,00;$532,15;25;$21,29;$441,71;9;34;$49,08;$28,64;;;;43;2009;Sat;2009-43;0;
;25 окт€бр€ 2009 г.;$6 862,82;$3 176,99;$10 039,81;;213;$18,80;$2 904,80;45;258;$54,96;$26,06;;;;44;2009;Sun;2009-44;0;
2.06;26 окт€бр€ 2009 г.;$729,78;$0,00;$0,00;$491,40;34;$14,45;$238,38;7;41;$34,05;$17,80;;$0,00;;44;2009;Mon;2009-44;0;
2.06;27 окт€бр€ 2009 г.;$716,78;$0,00;$0,00;$543,20;28;$19,40;$173,58;5;33;$34,72;$21,72;;$0,00;;44;2009;Tue;2009-44;0;
2.06;28 окт€бр€ 2009 г.;$1 648,55;$0,00;$0,00;$579,30;41;$14,13;$1 069,25;8;49;$133,66;$33,64;;$6,00;;44;2009;Wed;2009-44;0;
2.06;29 окт€бр€ 2009 г.;$2 145,54;$0,00;$0,00;$815,95;37;$22,05;$1 329,59;8;45;$166,20;$47,68;;$0,00;;44;2009;Thu;2009-44;0;
2.06;30 окт€бр€ 2009 г.;$2 257,18;$0,00;$0,00;$1 600,50;65;$24,62;$364,41;9;74;$40,49;$26,55;;-$1,70;;44;2009;Fri;2009-44;0;
2.06;31 окт€бр€ 2009 г.;$1 143,89;$0,00;$0,00;$628,30;30;$20,94;$515,59;12;42;$42,97;$27,24;;;;44;2009;Sat;2009-44;0;
;1 но€бр€ 2009 г.;$8 641,72;$3 058,59;$11 700,31;;235;$19,27;$3 690,80;49;284;$75,35;$29,11;;;;45;2009;Sun;2009-45;0;
2-07;2 но€бр€ 2009 г.;$691,97;$0,00;$0,00;$480,15;29;$16,56;$211,82;4;33;$52,96;$20,97;;;;45;2009;Mon;2009-45;0;
2-07;3 но€бр€ 2009 г.;$1 540,89;$0,00;$0,00;$511,40;30;$17,05;$1 029,49;5;35;$205,90;$44,03;;;;45;2009;Tue;2009-45;0;
2-07;4 но€бр€ 2009 г.;$749,06;$0,00;$0,00;$636,70;40;$15,92;$112,36;5;45;$22,47;$16,65;;;;45;2009;Wed;2009-45;0;
2-07;5 но€бр€ 2009 г.;$904,46;$0,00;$0,00;$829,35;44;$18,85;$75,11;3;47;$25,04;$19,24;;;;45;2009;Thu;2009-45;0;
2-07;6 но€бр€ 2009 г.;$1 921,77;$0,00;$0,00;$784,06;44;$17,82;$1 137,72;11;55;$103,43;$34,94;;;;45;2009;Fri;2009-45;0;
2-07;7 но€бр€ 2009 г.;$1 148,40;$0,00;$0,00;$798,40;36;$22,18;$310,83;8;44;$38,85;$25,21;;;;45;2009;Sat;2009-45;0;
;8 но€бр€ 2009 г.;$6 956,55;$2 776,96;$9 733,51;;223;$18,06;$2 877,33;36;259;$74,77;$26,84;;;;46;2009;Sun;2009-46;0;
2-08;9 но€бр€ 2009 г.;$1 402,30;$0,00;$0,00;$694,60;28;$24,81;$707,70;7;35;$101,10;$40,07;;$0,00;;46;2009;Mon;2009-46;0;
2-08;10 но€бр€ 2009 г.;$869,77;$0,00;$0,00;$677,00;30;$22,57;$192,77;6;36;$32,13;$24,16;;$0,00;;46;2009;Tue;2009-46;0;
2-08;11 но€бр€ 2009 г.;$1 040,64;$0,00;$0,00;$831,20;45;$18,47;$209,44;7;52;$29,92;$20,01;;$4,10;;46;2009;Wed;2009-46;0;
2-08;12 но€бр€ 2009 г.;$1 326,83;$0,00;$0,00;$773,85;40;$19,35;$552,98;10;50;$55,30;$26,54;;$0,15;;46;2009;Thu;2009-46;0;
2-08;13 но€бр€ 2009 г.;$2 653,52;$0,00;$0,00;$1 028,55;48;$21,43;$1 624,97;13;61;$125,00;$43,50;;-$0,10;;46;2009;Fri;2009-46;0;
2-08;14 но€бр€ 2009 г.;$777,30;$0,00;$0,00;$446,85;24;$18,62;$330,45;6;30;$55,08;$25,91;;;;46;2009;Sat;2009-46;0;
;15 но€бр€ 2009 г.;$8 070,36;$2 296,74;$10 367,10;;215;$20,87;$3 618,31;49;264;$66,42;$30,03;;;;47;2009;Sun;2009-47;0;
2-09;16 но€бр€ 2009 г.;$1 113,01;$0,00;$0,00;$573,85;28;$20,49;$539,16;6;34;$89,86;$32,74;;;;47;2009;Mon;2009-47;0;
2-09;17 но€бр€ 2009 г.;$577,53;$0,00;$0,00;$367,10;31;$11,84;$210,43;5;36;$42,09;$16,04;;;;47;2009;Tue;2009-47;0;
2-09;18 но€бр€ 2009 г.;$986,86;$0,00;$0,00;$726,80;38;$19,13;$260,06;6;44;$43,34;$22,43;;;;47;2009;Wed;2009-47;0;
2-09;19 но€бр€ 2009 г.;$1 301,74;$0,00;$0,00;$603,55;46;$13,12;$698,19;3;49;$232,73;$26,57;;;;47;2009;Thu;2009-47;0;
2-09;20 но€бр€ 2009 г.;$1 450,20;$0,00;$0,00;$921,30;49;$18,80;$528,90;6;55;$88,15;$26,37;minus Shanondough and Rodeo cheques;-$2,90;;47;2009;Fri;2009-47;0;
2-09;21 но€бр€ 2009 г.;$1 183,92;$0,00;$0,00;$482,40;24;$20,10;$701,52;11;35;$63,77;$33,83;;;;47;2009;Sat;2009-47;0;
;22 но€бр€ 2009 г.;$6 613,26;$2 620,33;$9 233,59;;216;$17,25;$2 938,26;37;253;$93,32;$26,33;;;;48;2009;Sun;2009-48;0;
2-10;23 но€бр€ 2009 г.;$590,38;$0,00;$0,00;$433,15;30;$14,44;$157,23;5;35;$31,45;$16,87;;;;48;2009;Mon;2009-48;0;
2-10;24 но€бр€ 2009 г.;$1 510,46;$0,00;$0,00;$598,35;30;$19,95;$912,11;3;33;$304,04;$45,77;;;;48;2009;Tue;2009-48;0;
2-10;25 но€бр€ 2009 г.;$827,16;$0,00;$0,00;$755,05;40;$18,88;$72,11;1;41;$72,11;$20,17;;;;48;2009;Wed;2009-48;0;
2-10;26 но€бр€ 2009 г.;$1 484,67;$0,00;$0,00;$502,80;37;$13,59;$981,87;9;46;$109,10;$32,28;;;;48;2009;Thu;2009-48;0;
2-10;27 но€бр€ 2009 г.;$1 662,14;$0,00;$0,00;$1 033,79;42;$24,61;$628,35;9;51;$69,82;$32,59;;;;48;2009;Fri;2009-48;0;
2-10;28 но€бр€ 2009 г.;$826,88;$0,00;$0,00;$480,30;26;$18,47;$346,58;5;31;$69,32;$26,67;;;;48;2009;Sat;2009-48;0;
;29 но€бр€ 2009 г.;$6 901,69;$2 774,48;$9 676,17;;205;$18,32;$3 098,25;32;237;$109,30;$29,06;;;;49;2009;Sun;2009-49;0;
2-11;30 но€бр€ 2009 г.;$816,31;$0,00;$0,00;$645,05;40;$16,13;$171,26;4;44;$42,82;$18,55;;;;49;2009;Mon;2009-49;0;
2-11;1 декабр€ 2009 г.;$1 009,09;$0,00;$0,00;$612,95;29;$21,14;$396,14;4;33;$99,04;$30,58;;;;49;2009;Tue;2009-49;1;
2-11;2 декабр€ 2009 г.;$1 297,36;$0,00;$0,00;$851,30;36;$23,65;$446,06;8;44;$55,76;$29,49;;;;49;2009;Wed;2009-49;1;
2-11;3 декабр€ 2009 г.;$1 622,37;$0,00;$0,00;$634,00;34;$18,65;$88,37;7;41;$12,62;$17,62;;;;49;2009;Thu;2009-49;1;
2-11;4 декабр€ 2009 г.;$2 708,25;$0,00;$0,00;$1 096,65;44;$24,92;$1 611,60;5;49;$322,32;$55,27;;;;49;2009;Fri;2009-49;1;
2-11;5 декабр€ 2009 г.;$1 975,62;$0,00;$0,00;$677,75;30;$22,59;$1 297,87;11;41;$117,99;$48,19;;;;49;2009;Sat;2009-49;1;
;6 декабр€ 2009 г.;$9 429,00;$3 844,15;$13 273,15;;213;$21,18;$4 011,30;39;252;$108,42;$33,28;;;;50;2009;Sun;2009-50;1;
2-12;7 декабр€ 2009 г.;$918,68;$0,00;$0,00;$454,10;41;$11,08;$464,58;7;48;$66,37;$19,14;;;;50;2009;Mon;2009-50;1;
2-12;8 декабр€ 2009 г.;$856,07;$0,00;$0,00;$331,70;18;$18,43;$524,37;5;23;$104,87;$37,22;;;;50;2009;Tue;2009-50;1;
2-12;9 декабр€ 2009 г.;$836,70;$0,00;$0,00;$550,45;26;$21,17;$286,25;6;32;$47,71;$26,15;;;;50;2009;Wed;2009-50;1;
2-12;10 декабр€ 2009 г.;$786,61;$0,00;$0,00;$555,50;33;$16,83;$231,11;5;38;$46,22;$20,70;;;;50;2009;Thu;2009-50;1;
2-12;11 декабр€ 2009 г.;$2 460,52;$0,00;$0,00;$417,65;27;$15,47;$2 042,87;19;46;$107,52;$53,49;;;;50;2009;Fri;2009-50;1;
2-12;12 декабр€ 2009 г.;$712,41;$0,00;$0,00;$412,50;22;$18,75;$299,91;8;30;$37,49;$23,75;;;;50;2009;Sat;2009-50;1;
;13 декабр€ 2009 г.;$6 570,99;$3 801,80;$10 372,79;;167;$16,95;$3 849,09;50;217;$68,36;$30,07;;;;51;2009;Sun;2009-51;1;
2-13;14 декабр€ 2009 г.;$635,28;$0,00;$0,00;$467,55;31;$15,08;$167,73;6;37;$27,96;$17,17;;;;51;2009;Mon;2009-51;1;
2-13;15 декабр€ 2009 г.;$1 723,47;$0,00;$0,00;$754,10;40;$18,85;$969,37;5;45;$193,87;$38,30;;;;51;2009;Tue;2009-51;1;
2-13;16 декабр€ 2009 г.;$1 365,08;$0,00;$0,00;$988,80;33;$29,96;$376,28;1;34;$376,28;$40,15;;;;51;2009;Wed;2009-51;1;
2-13;17 декабр€ 2009 г.;$1 498,20;$0,00;$0,00;$1 274,10;48;$26,54;$224,10;5;53;$44,82;$28,27;;;;51;2009;Thu;2009-51;1;
2-13;18 декабр€ 2009 г.;$3 057,06;$0,00;$0,00;$1 065,15;42;$25,36;$1 991,91;16;58;$124,49;$52,71;;;;51;2009;Fri;2009-51;1;
2-13;19 декабр€ 2009 г.;$2 621,47;$0,00;$0,00;$1 964,15;52;$37,77;$657,32;9;61;$73,04;$42,97;;;;51;2009;Sat;2009-51;1;
;20 декабр€ 2009 г.;$10 900,56;$5 231,53;$16 132,09;;246;$25,60;$4 386,71;42;288;$140,08;$36,59;;;;52;2009;Sun;2009-52;1;
2-14;21 декабр€ 2009 г.;$1 641,07;$0,00;$0,00;$1 245,85;44;$28,31;$395,22;8;52;$49,40;$31,56;;;;52;2009;Mon;2009-52;1;
2-14;22 декабр€ 2009 г.;$2 529,53;$0,00;$0,00;$1 541,65;51;$30,23;$987,88;10;61;$98,79;$41,47;;;;52;2009;Tue;2009-52;1;
2-14;23 декабр€ 2009 г.;$5 599,07;$0,00;$0,00;$3 023,90;72;$42,00;$2 575,17;29;101;$88,80;$55,44;;;;52;2009;Wed;2009-52;1;
2-14;24 декабр€ 2009 г.;$7 926,29;$0,00;$0,00;$4 309,80;97;$44,43;$3 616,49;30;127;$120,55;$62,41;;;;52;2009;Thu;2009-52;1;
2-14;25 декабр€ 2009 г.;$0,00;$0,00;$0,00;$0,00;0;$0,00;$0,00;0;0;$0,00;$0,00;CHRISTMAS DAY;;;52;2009;Fri;2009-52;1;
2-14;26 декабр€ 2009 г.;$0,00;$0,00;$0,00;$0,00;0;$0,00;$0,00;0;0;$0,00;$0,00;BOXING DAY;;;52;2009;Sat;2009-52;0;
;27 декабр€ 2009 г.;$17 695,96;$4 334,18;$22 030,14;;264;$24,16;$7 574,76;77;341;$59,59;$31,81;;;;53;2009;Sun;2009-53;0;
2-15;28 декабр€ 2009 г.;$0,00;$0,00;$0,00;$0,00;0;$0,00;$0,00;0;0;$0,00;$0,00;PUBLIC HOLIDAY;;;53;2009;Mon;2009-53;0;
2-15;29 декабр€ 2009 г.;$837,38;$0,00;$0,00;$753,07;35;$21,52;$84,31;2;37;$42,16;$22,63;;;;53;2009;Tue;2009-53;0;
2-15;30 декабр€ 2009 г.;$962,57;$0,00;$0,00;$713,40;33;$21,62;$249,17;9;42;$27,69;$22,92;;;;53;2009;Wed;2009-53;0;
2-15;31 декабр€ 2009 г.;$2 497,13;$0,00;$0,00;$1 291,00;60;$21,52;$1 206,13;16;76;$75,38;$32,86;;;;53;2009;Thu;2009-53;0;
2-15;1 €нвар€ 2010 г.;$0,00;$0,00;$0,00;$0,00;128;$0,00;$0,00;27;155;$0,00;$0,00;NEW YEARS DAY;;;1;2010;Fri;2010-1;0;
2-15;2 €нвар€ 2010 г.;$0,00;$0,00;$0,00;$0,00;0;$0,00;$0,00;0;0;$0,00;$0,00;CLOSED;;;1;2010;Sat;2010-1;0;
;3 €нвар€ 2010 г.;$4 297,08;$2 066,98;$6 364,06;;256;$10,78;$1 539,61;54;310;$24,20;$13,07;;;;2;2010;Sun;2010-2;0;
2-16;4 €нвар€ 2010 г.;$752,45;$0,00;$0,00;$523,35;31;$16,88;$229,10;6;37;$38,18;$20,34;;;;2;2010;Mon;2010-2;0;
2-16;5 €нвар€ 2010 г.;$2 481,95;$0,00;$0,00;$930,55;50;$18,61;$1 551,40;12;62;$129,28;$40,03;;;;2;2010;Tue;2010-2;0;
2-16;6 €нвар€ 2010 г.;$1 209,07;$0,00;$0,00;$938,20;33;$28,43;$270,75;6;39;$45,13;$31,00;;;;2;2010;Wed;2010-2;0;
2-16;7 €нвар€ 2010 г.;$1 387,11;$0,00;$0,00;$753,85;33;$22,84;$931,94;14;47;$66,57;$35,87;;;;2;2010;Thu;2010-2;0;
2-16;8 €нвар€ 2010 г.;$2 698,10;$0,00;$0,00;$1 386,95;54;$25,68;$1 311,15;8;62;$163,89;$43,52;;;;2;2010;Fri;2010-2;0;
2-16;9 €нвар€ 2010 г.;$862,76;$0,00;$0,00;$407,80;21;$19,42;$454,96;10;31;$45,50;$27,83;;;;2;2010;Sat;2010-2;0;
;10 €нвар€ 2010 г.;$9 391,44;$2 066,98;$11 458,42;;222;$21,98;$4 749,30;56;278;$81,42;$33,10;;;;3;2010;Sun;2010-3;0;
2-17;11 €нвар€ 2010 г.;$405,59;$0,00;$0,00;$283,40;25;$11,34;$122,19;5;30;$24,44;$13,52;;$6,30;;3;2010;Mon;2010-3;0;
2-17;12 €нвар€ 2010 г.;$1 286,10;$0,00;$0,00;$404,50;27;$14,98;$881,60;6;33;$146,93;$38,97;;$0,20;;3;2010;Tue;2010-3;0;
2-17;13 €нвар€ 2010 г.;$1 806,21;$0,00;$0,00;$1 021,30;38;$26,88;$784,65;8;46;$98,08;$39,26;;;;3;2010;Wed;2010-3;0;
2-17;14 €нвар€ 2010 г.;$741,61;$0,00;$0,00;$687,20;35;$19,63;$54,41;3;38;$18,14;$19,52;;;;3;2010;Thu;2010-3;0;
2-17;15 €нвар€ 2010 г.;$2 182,09;$0,00;$0,00;$1 047,00;44;$23,80;$1 135,09;9;53;$126,12;$41,17;;$0,45;;3;2010;Fri;2010-3;0;
2-17;16 €нвар€ 2010 г.;$686,18;$0,00;$0,00;$483,75;24;$20,16;$202,43;5;29;$40,49;$23,66;;;;3;2010;Sat;2010-3;0;
;17 €нвар€ 2010 г.;$7 107,78;$2 291,32;$9 399,10;;193;$19,46;$3 180,37;36;229;$75,70;$29,35;;;;4;2010;Sun;2010-4;0;
2-18;18 €нвар€ 2010 г.;$1 279,59;$0,00;$0,00;$496,60;30;$16,55;$783,01;7;37;$111,86;$34,58;;;;4;2010;Mon;2010-4;0;
2-18;19 €нвар€ 2010 г.;$883,93;$0,00;$0,00;$833,30;41;$20,32;$50,63;2;43;$25,32;$20,56;;;;4;2010;Tue;2010-4;0;
2-18;20 €нвар€ 2010 г.;$674,29;$0,00;$0,00;$383,95;19;$20,21;$290,34;8;27;$36,29;$24,97;;;;4;2010;Wed;2010-4;0;
2-18;21 €нвар€ 2010 г.;$1 788,00;$0,00;$0,00;$682,05;32;$21,31;$1 105,95;9;41;$122,88;$43,61;;;;4;2010;Thu;2010-4;0;
2-18;22 €нвар€ 2010 г.;$1 658,00;$0,00;$0,00;$1 095,35;36;$30,43;$562,65;10;46;$56,27;$36,04;;;;4;2010;Fri;2010-4;0;
2-18;23 €нвар€ 2010 г.;$1 220,40;$0,00;$0,00;$743,75;31;$23,99;$476,65;11;42;$43,33;$29,06;;;;4;2010;Sat;2010-4;0;
;24 €нвар€ 2010 г.;$7 504,21;$3 994,24;$11 498,45;;189;$22,14;$3 269,23;47;236;$65,99;$31,47;;;;5;2010;Sun;2010-5;0;
2-19;25 €нвар€ 2010 г.;$1 660,94;$0,00;$0,00;$1 130,30;52;$21,74;$530,64;9;61;$58,96;$27,23;;;;5;2010;Mon;2010-5;0;
2-19;26 €нвар€ 2010 г.;$0,00;$0,00;$0,00;$0,00;0;$0,00;$0,00;0;0;$0,00;$0,00;;;;5;2010;Tue;2010-5;0;
2-19;27 €нвар€ 2010 г.;$1 665,61;$0,00;$0,00;$616,70;37;$16,67;$1 048,91;9;46;$116,55;$36,21;;;;5;2010;Wed;2010-5;0;
2-19;28 €нвар€ 2010 г.;$1 139,60;$0,00;$0,00;$911,85;37;$24,64;$227,75;8;45;$28,47;$25,32;;;;5;2010;Thu;2010-5;0;
2-19;29 €нвар€ 2010 г.;$1 649,11;$0,00;$0,00;$728,65;26;$28,03;$720,46;3;29;$240,15;$49,97;;;;5;2010;Fri;2010-5;0;
2-19;30 €нвар€ 2010 г.;$906,83;$0,00;$0,00;$685,85;27;$25,40;$220,98;5;32;$44,20;$28,34;;;;5;2010;Sat;2010-5;0;
;31 €нвар€ 2010 г.;$7 022,09;$5 135,23;$12 157,32;;179;$19,41;$2 748,74;34;213;$81,39;$27,84;;;;6;2010;Sun;2010-6;0;
2-20;1 феврал€ 2010 г.;$810,42;$0,00;$0,00;$605,80;38;$15,94;$204,62;4;42;$51,16;$19,30;;;;6;2010;Mon;2010-6;0;
2-20;2 феврал€ 2010 г.;$1 457,24;$0,00;$0,00;$387,35;29;$13,36;$1 069,90;13;42;$82,30;$34,70;;;;6;2010;Tue;2010-6;0;
2-20;3 феврал€ 2010 г.;$1 195,82;$0,00;$0,00;$1 101,90;47;$23,44;$93,92;5;52;$18,78;$23,00;minus Mulgowie Hall Nov Dec Jan 370 amd GHB 611.;;;6;2010;Wed;2010-6;0;
2-20;4 феврал€ 2010 г.;$815,89;$0,00;$0,00;$627,35;34;$18,45;$188,54;6;40;$31,42;$20,40;;;;6;2010;Thu;2010-6;0;
2-20;5 феврал€ 2010 г.;$1 832,29;$0,00;$0,00;$1 382,10;53;$26,08;$450,19;8;61;$56,27;$30,04;;;;6;2010;Fri;2010-6;0;
2-20;6 феврал€ 2010 г.;$1 057,03;$0,00;$0,00;$964,45;31;$31,11;$92,58;3;34;$30,86;$31,09;;;;6;2010;Sat;2010-6;0;
;7 феврал€ 2010 г.;$7 168,69;$3 359,96;$10 528,65;;232;$21,40;$2 099,75;39;271;$45,13;$26,42;;;;7;2010;Sun;2010-7;0;
2-21;8 феврал€ 2010 г.;$593,52;$0,00;$0,00;$422,35;25;$16,89;$171,17;6;31;$28,53;$19,15;;;;7;2010;Mon;2010-7;0;
2-21;9 феврал€ 2010 г.;$730,15;$0,00;$0,00;$730,15;35;$20,86;$0,00;0;35;$0,00;$20,86;;;;7;2010;Tue;2010-7;0;
2-21;10 феврал€ 2010 г.;$1 460,92;$0,00;$0,00;$598,45;25;$23,94;$862,47;3;28;$287,49;$52,18;;;;7;2010;Wed;2010-7;0;
2-21;11 феврал€ 2010 г.;$1 387,52;$0,00;$0,00;$1 120,05;43;$26,05;$267,47;7;50;$38,21;$27,75;;;;7;2010;Thu;2010-7;0;
2-21;12 феврал€ 2010 г.;$2 304,88;$0,00;$0,00;$967,30;40;$24,18;$1 337,58;9;49;$148,62;$47,04;;;;7;2010;Fri;2010-7;0;
2-21;13 феврал€ 2010 г.;$911,39;$0,00;$0,00;$590,04;27;$21,85;$320,99;7;34;$45,86;$26,80;;;;7;2010;Sat;2010-7;0;
;14 феврал€ 2010 г.;$7 388,38;$3 870,59;$11 258,97;;195;$22,30;$2 959,68;32;227;$91,45;$32,29;;;;8;2010;Sun;2010-8;0;
2-22;15 феврал€ 2010 г.;$709,46;$0,00;$0,00;$274,95;23;$11,95;$434,51;9;32;$48,28;$22,17;;;;8;2010;Mon;2010-8;0;
2-22;16 феврал€ 2010 г.;$559,13;$0,00;$0,00;$544,70;34;$16,02;$14,43;1;35;$14,43;$15,98;;;;8;2010;Tue;2010-8;0;
2-22;17 феврал€ 2010 г.;$1 431,77;$0,00;$0,00;$802,30;35;$22,92;$629,47;7;42;$89,92;$34,09;;;;8;2010;Wed;2010-8;0;
2-22;18 феврал€ 2010 г.;$2 016,09;$0,00;$0,00;$1 088,00;37;$29,41;$928,09;16;53;$58,01;$38,04;;;;8;2010;Thu;2010-8;0;
2-22;19 феврал€ 2010 г.;$3 097,11;$0,00;$0,00;$925,40;39;$23,73;$2 171,71;11;50;$197,43;$61,94;;;;8;2010;Fri;2010-8;0;
2-22;20 феврал€ 2010 г.;$548,54;$0,00;$0,00;$277,90;16;$17,37;$250,64;4;20;$62,66;$26,43;;;;8;2010;Sat;2010-8;0;
;21 феврал€ 2010 г.;$8 362,10;$3 599,09;$11 961,19;;184;$20,23;$4 428,85;48;232;$78,45;$33,11;;;;9;2010;Sun;2010-9;0;
2-23;22 феврал€ 2010 г.;$507,04;$0,00;$0,00;$431,45;26;$16,59;$75,59;3;29;$25,20;$17,48;;;;9;2010;Mon;2010-9;0;
2-23;23 феврал€ 2010 г.;$948,00;$0,00;$0,00;$731,65;29;$25,23;$216,35;6;35;$36,06;$27,09;;;;9;2010;Tue;2010-9;0;
2-23;24 феврал€ 2010 г.;$1 624,83;$0,00;$0,00;$873,85;33;$26,48;$750,98;8;41;$93,87;$39,63;;;;9;2010;Wed;2010-9;0;
2-23;25 феврал€ 2010 г.;$615,02;$0,00;$0,00;$537,90;35;$15,37;$77,12;3;38;$25,71;$16,18;;;;9;2010;Thu;2010-9;0;
2-23;26 феврал€ 2010 г.;$1 673,83;$0,00;$0,00;$749,10;38;$19,71;$924,73;13;51;$71,13;$32,82;;;;9;2010;Fri;2010-9;0;
2-23;27 феврал€ 2010 г.;$2 195,08;$0,00;$0,00;$693,65;31;$22,38;$1 501,43;10;41;$150,14;$53,54;;;;9;2010;Sat;2010-9;0;
;28 феврал€ 2010 г.;$7 563,80;$2 624,94;$10 188,74;;192;$20,96;$3 546,20;43;235;$67,02;$31,12;;;;10;2010;Sun;2010-10;0;
2-24;1 марта 2010 г.;$480,12;$0,00;$0,00;$368,52;26;$14,17;$111,60;4;30;$27,90;$16,00;;;;10;2010;Mon;2010-10;0;
2-24;2 марта 2010 г.;$1 287,26;$0,00;$0,00;$715,35;32;$22,35;$571,91;4;36;$142,98;$35,76;;;;10;2010;Tue;2010-10;0;
2-24;3 марта 2010 г.;$814,61;$0,00;$0,00;$641,45;31;$20,69;$173,16;6;37;$28,86;$22,02;;;;10;2010;Wed;2010-10;0;
2-24;4 марта 2010 г.;$1 141,94;$0,00;$0,00;$903,60;41;$22,04;$238,34;5;46;$47,67;$24,82;;;;10;2010;Thu;2010-10;0;
2-24;5 марта 2010 г.;$1 725,65;$0,00;$0,00;$794,75;33;$24,08;$930,90;10;43;$93,09;$40,13;;;;10;2010;Fri;2010-10;0;
2-24;6 марта 2010 г.;$1 108,21;$0,00;$0,00;$657,70;20;$32,89;$450,51;9;29;$50,06;$38,21;;;;10;2010;Sat;2010-10;0;
;7 марта 2010 г.;$6 557,79;$3 422,85;$9 980,64;;183;$22,70;$2 476,42;38;221;$65,09;$29,49;;;;11;2010;Sun;2010-11;0;
2-25;8 марта 2010 г.;$569,20;$0,00;$0,00;$402,95;30;$13,43;$166,25;8;38;$20,78;$14,98;;-$3,00;;11;2010;Mon;2010-11;0;
2-25;9 марта 2010 г.;$749,98;$0,00;$0,00;$548,70;36;$15,24;$201,28;6;42;$33,55;$17,86;;$2,10;;11;2010;Tue;2010-11;0;
2-25;10 марта 2010 г.;$728,47;$0,00;$0,00;$544,05;34;$16,00;$184,42;6;40;$30,74;$18,21;;;;11;2010;Wed;2010-11;0;
2-25;11 марта 2010 г.;$977,85;$0,00;$0,00;$590,60;33;$17,90;$387,25;4;37;$96,81;$26,43;;;;11;2010;Thu;2010-11;0;
2-25;12 марта 2010 г.;$2 175,11;$0,00;$0,00;$957,90;38;$25,21;$1 217,21;11;49;$110,66;$44,39;;;;11;2010;Fri;2010-11;0;
2-25;13 марта 2010 г.;$904,71;$0,00;$0,00;$437,00;23;$19,00;$467,71;11;34;$42,52;$26,61;;;;11;2010;Sat;2010-11;0;
;14 марта 2010 г.;$6 105,32;$3 572,81;$9 678,13;;194;$17,80;$2 624,12;46;240;$55,84;$24,75;;;;12;2010;Sun;2010-12;0;
2-26;15 марта 2010 г.;$572,75;$0,00;$0,00;$298,70;22;$13,58;$274,05;6;28;$45,68;$20,46;;;;12;2010;Mon;2010-12;0;
2-26;16 марта 2010 г.;$1 269,40;$0,00;$0,00;$663,55;35;$18,96;$604,85;9;44;$67,21;$28,83;;;;12;2010;Tue;2010-12;0;
2-26;17 марта 2010 г.;$766,25;$0,00;$0,00;$696,25;24;$29,01;$69,67;2;26;$34,84;$29,46;;;;12;2010;Wed;2010-12;0;
2-26;18 марта 2010 г.;$933,30;$0,00;$0,00;$796,45;38;$20,96;$136,85;4;42;$34,21;$22,22;;;;12;2010;Thu;2010-12;0;
2-26;19 марта 2010 г.;$2 909,17;$0,00;$0,00;$1 077,00;53;$20,32;$1 832,17;15;68;$122,14;$42,78;;;;12;2010;Fri;2010-12;0;
